State,18_or_Older_AMI_Total
Florida,2463000
North Dakota,89000
New Jersey,1106000
Maryland,735000
Illinois,1587000
Connecticut,454000
South Dakota,104000
Iowa,392000
Texas,3229000
Hawaii,178000
Pennsylvania,1731000
Kansas,371000
South Carolina,636000
New York ,2684000
Colorado,710000
Virginia ,1124000
Alaska,94000
California,5241000
Nebraska,251000
Wisconsin,807000
Nevada,392000
Georgia,1365000
Arizona,920000
Missouri,862000
Michigan,1441000
Oklahoma,540000
Delaware,136000
Wyoming,83000
Mississippi,422000
District of Columbia,102000
North Carolina,1429000
Alabama,712000
Minnesota,806000
Montana,154000
Washington,1049000
Louisiana,678000
Arkansas,441000
New Mexico,309000
Kentucky,663000
Massachusetts,1056000
Indiana,993000
Ohio,1777000
Tennessee,1005000
Vermont,102000
Maine,217000
Idaho,244000
New Hampshire,217000
Utah,417000
West Virginia,305000
Rhode Island,178000
Oregon,692000
,
