State,18_or_Older_AMI_Total
New Jersey,1062000
Hawaii,165000
Illinois,1526000
Texas,3196000
Maryland,758000
North Dakota,97000
California,5072000
Florida,2769000
Louisiana,599000
Michigan,1320000
Mississippi,385000
Arizona,902000
New York ,2692000
Maine,187000
Delaware,129000
Iowa,418000
Georgia,1341000
South Dakota,113000
Connecticut,500000
Missouri,828000
South Carolina,677000
Kansas,387000
Minnesota,759000
Nevada,404000
Nebraska,258000
Alabama,680000
Wisconsin,817000
Pennsylvania,1861000
District of Columbia,103000
Oklahoma,545000
North Carolina,1440000
New Mexico,298000
Rhode Island,160000
Massachusetts,1034000
New Hampshire,204000
Wyoming,85000
Tennessee,986000
Ohio,1741000
Indiana,988000
Virginia ,1261000
Alaska,105000
Colorado,832000
Montana,164000
Washington,1139000
Vermont,104000
West Virginia,300000
Arkansas,468000
Idaho,262000
Kentucky,737000
Utah,464000
Oregon,714000
