State,18_or_Older_AMI_Total
New Jersey,1122000
Texas,3602000
Maryland,810000
Virginia,1199000
Florida,2903000
South Dakota,118000
Hawaii,187000
Illinois,1858000
Nebraska,290000
Georgia,1406000
Pennsylvania,1963000
New York,2972000
Tennessee,1006000
South Carolina,760000
California,5864000
North Carolina,1532000
Connecticut,531000
Michigan,1571000
New Mexico,338000
North Dakota,116000
Arizona,1099000
Wisconsin,904000
Minnesota,876000
Mississippi,446000
Kansas,442000
Iowa,473000
Montana,171000
Delaware,157000
Arkansas,460000
Wyoming,98000
Oklahoma,657000
Alaska,113000
New Hampshire,243000
Louisiana,734000
Vermont,112000
Nevada,512000
Maine,238000
Massachusetts,1157000
Rhode Island,187000
Alabama,794000
Ohio,2112000
Missouri,1056000
Colorado,1014000
Kentucky,762000
District of Columbia,129000
Washington,1360000
Oregon,783000
Indiana,1129000
West Virginia,347000
Idaho,311000
Utah,599000
