State,18 or Older Estimate,18-25 Estimate,26 or Older Estimate
Alabama,797,131,665
Alaska,117,24,93
Arizona,1339,282,1057
Arkansas,514,98,416
California,6169,1166,5004
Colorado,1028,200,827
Connecticut,524,109,415
Delaware,156,27,129
District of Columbia,131,23,108
Florida,2985,509,2475
Georgia,1397,258,1139
Hawaii,189,40,149
Idaho,333,67,266
Illinois,2000,381,1619
Indiana,1109,214,895
Iowa,503,106,397
Kansas,560,111,450
Kentucky,742,126,616
Louisiana,733,115,618
Maine,234,39,196
Maryland,822,178,644
Massachusetts,1172,239,933
Michigan,1729,343,1385
Minnesota,997,191,806
Mississippi,465,72,393
Missouri,996,195,801
Montana,195,37,158
Nebraska,335,68,267
Nevada,508,91,417
New Hampshire,260,48,212
New Jersey,1251,263,988
New Mexico,337,62,275
New York,2855,549,2306
North Carolina,1592,313,1280
North Dakota,118,27,91
Ohio,2177,379,1798
Oklahoma,752,153,598
Oregon,909,151,759
Pennsylvania,1963,393,1570
Rhode Island,202,36,166
South Carolina,862,138,724
South Dakota,139,29,109
Tennessee,1073,212,861
Texas,3825,886,2939
Utah,675,162,513
Vermont,120,23,97
Virginia,1331,275,1057
Washington,1500,271,1229
West Virginia,366,54,312
Wisconsin,982,200,782
Wyoming,103,21,82
